nombre,apellidos,correo electrónico,contraseña temporal,carrera,ciclo
Elena,Ramos Medina,85719177@sima.com,elena123,Tecnología Médica - Radiología,5
Elena,Cruz Fernández,92132567@sima.com,elena123,Nutrición y Dietética,1
Sofía,García Pérez,33166495@sima.com,sofía123,Ingeniería de Minas,8
Kevin,Ramos Medina,79777213@sima.com,kevin123,Medicina Humana,9
Kevin,Flores Rojas,32509151@sima.com,kevin123,Arquitectura,8
José,Flores Rojas,33306843@sima.com,josé123,Ingeniería Civil,7
Kevin,Vargas Soto,27372712@sima.com,kevin123,Ingeniería Mecatrónica,6
Paula,Flores Rojas,69320833@sima.com,paula123,Ingeniería de Sistemas e Informática,6
José,García Pérez,38082031@sima.com,josé123,Arquitectura,4
Valeria,Flores Rojas,73416482@sima.com,valeria123,Tecnología Médica - Terapia Física y Rehabilitación,3
Lucía,Torres Díaz,67640161@sima.com,lucía123,Ingeniería Empresarial,7
Ricardo,Ramos Medina,80645401@sima.com,ricardo123,Ingeniería Empresarial,8
Andrea,Flores Rojas,95784667@sima.com,andrea123,Enfermería,6
Lucía,Paredes Silva,81486450@sima.com,lucía123,Derecho,5
Valeria,Paredes Silva,16847316@sima.com,valeria123,Ingeniería Empresarial,2
José,García Pérez,57652611@sima.com,josé123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,4
Ricardo,Ramos Medina,29383348@sima.com,ricardo123,Ingeniería Ambiental,9
Jorge,Quispe Mamani,52957013@sima.com,jorge123,Nutrición y Dietética,10
José,Cruz Fernández,35291039@sima.com,josé123,Ingeniería de Minas,6
Sofía,Ramos Medina,16336739@sima.com,sofía123,Ingeniería Mecánica,3
Fernando,Paredes Silva,12869205@sima.com,fernando123,Ingeniería Ambiental,6
Miguel,Cruz Fernández,59539427@sima.com,miguel123,Medicina Humana,9
Alonso,Cruz Fernández,97614079@sima.com,alonso123,Odontología,8
Luis,García Pérez,99652839@sima.com,luis123,Ingeniería Industrial,5
Alonso,Castillo Huamán,95495255@sima.com,alonso123,Tecnología Médica - Terapia Física y Rehabilitación,10
Diego,Mendoza López,16688463@sima.com,diego123,Enfermería,6
Sofía,Ramos Medina,16631250@sima.com,sofía123,Ingeniería Eléctrica,8
Fernando,García Pérez,60149086@sima.com,fernando123,Ingeniería de Sistemas e Informática,6
Lucía,Castillo Huamán,35984684@sima.com,lucía123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,9
María,Mendoza López,91072297@sima.com,maría123,Enfermería,4
Valeria,García Pérez,35799911@sima.com,valeria123,Ingeniería Eléctrica,6
Kevin,García Pérez,10299937@sima.com,kevin123,Enfermería,5
Ricardo,Flores Rojas,27970474@sima.com,ricardo123,Farmacia y Bioquímica,1
Paula,Paredes Silva,77127193@sima.com,paula123,Ingeniería Ambiental,9
Ana,Vargas Soto,55112102@sima.com,ana123,Ingeniería Mecánica,4
Andrea,Paredes Silva,79046375@sima.com,andrea123,Tecnología Médica - Radiología,10
José,Vargas Soto,12678166@sima.com,josé123,Farmacia y Bioquímica,10
Camila,Torres Díaz,43902200@sima.com,camila123,Nutrición y Dietética,3
Daniela,Castillo Huamán,64554377@sima.com,daniela123,Nutrición y Dietética,3
Luis,García Pérez,98923907@sima.com,luis123,Ingeniería Empresarial,8
Luis,Cruz Fernández,48426299@sima.com,luis123,Tecnología Médica - Terapia Física y Rehabilitación,10
Ana,Ramos Medina,64234141@sima.com,ana123,Odontología,7
Sofía,Castillo Huamán,16011955@sima.com,sofía123,Farmacia y Bioquímica,7
María,Ramos Medina,66110543@sima.com,maría123,Ingeniería Empresarial,4
Camila,García Pérez,22315837@sima.com,camila123,Enfermería,2
Jorge,Mendoza López,16950727@sima.com,jorge123,Ciencias de la Comunicación,3
Sofía,Vargas Soto,21084683@sima.com,sofía123,Farmacia y Bioquímica,8
Elena,Torres Díaz,98033866@sima.com,elena123,Ingeniería de Sistemas e Informática,10
Elena,Castillo Huamán,63117527@sima.com,elena123,Farmacia y Bioquímica,9
Ricardo,Paredes Silva,47587980@sima.com,ricardo123,Farmacia y Bioquímica,9
Luis,Paredes Silva,93653878@sima.com,luis123,Ingeniería Mecánica,5
Luis,Mendoza López,60395836@sima.com,luis123,Ingeniería Civil,5
Diego,Castillo Huamán,86080926@sima.com,diego123,Ingeniería Industrial,3
Diego,Torres Díaz,54683579@sima.com,diego123,Ingeniería de Minas,4
Carlos,Castillo Huamán,21116685@sima.com,carlos123,Ingeniería Civil,6
Fernando,Cruz Fernández,17372226@sima.com,fernando123,Ingeniería de Minas,2
Jorge,Cruz Fernández,76545660@sima.com,jorge123,Ingeniería Industrial,7
Miguel,García Pérez,76181251@sima.com,miguel123,Ingeniería Empresarial,6
Carlos,Cruz Fernández,64843691@sima.com,carlos123,Enfermería,7
Daniela,Mendoza López,13850358@sima.com,daniela123,Medicina Humana,3
José,García Pérez,74817854@sima.com,josé123,Ingeniería Empresarial,6
Valeria,Vargas Soto,82688000@sima.com,valeria123,Nutrición y Dietética,3
Paula,Paredes Silva,28187961@sima.com,paula123,Ciencias de la Comunicación,3
Lucía,Castillo Huamán,55653918@sima.com,lucía123,Enfermería,1
María,Mendoza López,23830656@sima.com,maría123,Derecho,4
Kevin,Cruz Fernández,50116412@sima.com,kevin123,Derecho,5
Valeria,Flores Rojas,40820088@sima.com,valeria123,Arquitectura,9
José,García Pérez,21091047@sima.com,josé123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,1
Jorge,Cruz Fernández,14806710@sima.com,jorge123,Nutrición y Dietética,2
Elena,Quispe Mamani,58106045@sima.com,elena123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,6
Sofía,Paredes Silva,61360916@sima.com,sofía123,Enfermería,1
Alonso,Quispe Mamani,51752669@sima.com,alonso123,Derecho,4
Elena,Flores Rojas,54129455@sima.com,elena123,Ingeniería Empresarial,7
Diego,Vargas Soto,21625898@sima.com,diego123,Odontología,5
Alonso,Flores Rojas,19521677@sima.com,alonso123,Enfermería,7
Jorge,Ramos Medina,79323967@sima.com,jorge123,Ingeniería Mecánica,6
Andrea,Vargas Soto,61373148@sima.com,andrea123,Ingeniería Civil,9
Elena,Flores Rojas,52298952@sima.com,elena123,Ciencias de la Comunicación,8
Miguel,García Pérez,23063794@sima.com,miguel123,Nutrición y Dietética,10
Jorge,Vargas Soto,59947929@sima.com,jorge123,Ingeniería de Sistemas e Informática,7
Elena,Flores Rojas,46508412@sima.com,elena123,Nutrición y Dietética,10
Fernando,Ramos Medina,87909630@sima.com,fernando123,Ingeniería Empresarial,1
Ricardo,Flores Rojas,78316931@sima.com,ricardo123,Ingeniería de Sistemas e Informática,5
José,Flores Rojas,73535583@sima.com,josé123,Ingeniería Mecatrónica,3
Daniela,Torres Díaz,36999376@sima.com,daniela123,Tecnología Médica - Terapia Física y Rehabilitación,5
Camila,Ramos Medina,78820138@sima.com,camila123,Ingeniería de Sistemas e Informática,9
Ricardo,García Pérez,39014113@sima.com,ricardo123,Tecnología Médica - Radiología,9
Camila,Vargas Soto,27246861@sima.com,camila123,Farmacia y Bioquímica,3
Sofía,Mendoza López,90568528@sima.com,sofía123,Ingeniería Civil,4
Lucía,Castillo Huamán,19496150@sima.com,lucía123,Ingeniería Ambiental,5
Sofía,Paredes Silva,71209303@sima.com,sofía123,Ingeniería Mecánica,7
Lucía,Quispe Mamani,69935530@sima.com,lucía123,Ingeniería Empresarial,4
Carlos,Cruz Fernández,13126107@sima.com,carlos123,Enfermería,2
Camila,Ramos Medina,57645841@sima.com,camila123,Ciencias de la Comunicación,4
Sofía,Flores Rojas,51015575@sima.com,sofía123,Ingeniería Civil,2
Valeria,Vargas Soto,22106076@sima.com,valeria123,Nutrición y Dietética,9
Andrea,Mendoza López,98554645@sima.com,andrea123,Ingeniería Civil,7
Ana,Mendoza López,36731041@sima.com,ana123,Ingeniería Mecánica,6
Luis,Vargas Soto,21678099@sima.com,luis123,Ingeniería de Sistemas e Informática,3
Alonso,García Pérez,50036272@sima.com,alonso123,Ingeniería Mecánica,10
Diego,Torres Díaz,78597829@sima.com,diego123,Ingeniería Mecatrónica,4
José,Mendoza López,67613888@sima.com,josé123,Nutrición y Dietética,8
Fernando,Vargas Soto,75071249@sima.com,fernando123,Odontología,10
Kevin,Torres Díaz,86174349@sima.com,kevin123,Farmacia y Bioquímica,1
José,Vargas Soto,85437318@sima.com,josé123,Nutrición y Dietética,2
Alonso,Paredes Silva,65300523@sima.com,alonso123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,5
Alonso,Castillo Huamán,33511288@sima.com,alonso123,Ingeniería Mecánica,3
Jorge,Ramos Medina,99975188@sima.com,jorge123,Ingeniería Mecánica,8
Jorge,Vargas Soto,35481639@sima.com,jorge123,Ingeniería Industrial,2
Ana,Flores Rojas,78377755@sima.com,ana123,Medicina Humana,6
Daniela,Ramos Medina,99953876@sima.com,daniela123,Tecnología Médica - Terapia Física y Rehabilitación,9
Camila,Ramos Medina,68076870@sima.com,camila123,Odontología,2
Paula,Ramos Medina,41784810@sima.com,paula123,Ingeniería Empresarial,8
Luis,Cruz Fernández,60416035@sima.com,luis123,Ingeniería Civil,10
Ana,Ramos Medina,80039841@sima.com,ana123,Tecnología Médica - Radiología,9
Jorge,Cruz Fernández,85009923@sima.com,jorge123,Tecnología Médica - Radiología,10
Ana,Ramos Medina,90868007@sima.com,ana123,Nutrición y Dietética,2
Lucía,Mendoza López,74547256@sima.com,lucía123,Ingeniería Ambiental,2
Valeria,García Pérez,76043104@sima.com,valeria123,Ingeniería Mecatrónica,6
Fernando,Castillo Huamán,36323849@sima.com,fernando123,Ingeniería Mecatrónica,10
Andrea,Torres Díaz,18472250@sima.com,andrea123,Ingeniería Civil,3
Valeria,García Pérez,33211767@sima.com,valeria123,Ingeniería Civil,7
Kevin,Flores Rojas,11474532@sima.com,kevin123,Ingeniería Civil,8
Ana,Ramos Medina,48679146@sima.com,ana123,Enfermería,1
José,Paredes Silva,83910964@sima.com,josé123,Ciencias de la Comunicación,8
Carlos,Paredes Silva,89232886@sima.com,carlos123,Ingeniería de Sistemas e Informática,4
Camila,Cruz Fernández,43458198@sima.com,camila123,Tecnología Médica - Terapia Física y Rehabilitación,5
Andrea,Vargas Soto,19185699@sima.com,andrea123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,3
Jorge,Quispe Mamani,45754635@sima.com,jorge123,Tecnología Médica - Terapia Física y Rehabilitación,3
Carlos,Ramos Medina,19801875@sima.com,carlos123,Ingeniería de Minas,6
Carlos,Torres Díaz,18334403@sima.com,carlos123,Ingeniería Mecánica,3
Ana,Castillo Huamán,61509179@sima.com,ana123,Ingeniería Industrial,2
Carlos,Paredes Silva,76358294@sima.com,carlos123,Ingeniería Ambiental,3
Camila,Ramos Medina,87173786@sima.com,camila123,Enfermería,3
Jorge,Ramos Medina,32486643@sima.com,jorge123,Ingeniería Empresarial,2
Ricardo,Vargas Soto,26367307@sima.com,ricardo123,Ciencias de la Comunicación,5
Lucía,Vargas Soto,19072045@sima.com,lucía123,Medicina Humana,8
Fernando,Paredes Silva,15141614@sima.com,fernando123,Ingeniería Mecánica,6
Alonso,Paredes Silva,58920535@sima.com,alonso123,Ingeniería de Sistemas e Informática,3
Ana,Ramos Medina,59839775@sima.com,ana123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,3
Luis,Paredes Silva,82681842@sima.com,luis123,Ingeniería Civil,7
Elena,Flores Rojas,47749531@sima.com,elena123,Ingeniería de Sistemas e Informática,2
Ricardo,Paredes Silva,68672126@sima.com,ricardo123,Ingeniería de Sistemas e Informática,10
Fernando,García Pérez,39398094@sima.com,fernando123,Ingeniería Empresarial,7
Andrea,Vargas Soto,40208320@sima.com,andrea123,Ingeniería de Minas,9
María,Flores Rojas,15160880@sima.com,maría123,Tecnología Médica - Radiología,7
Elena,Flores Rojas,53454519@sima.com,elena123,Ingeniería Industrial,6
Camila,Mendoza López,23720224@sima.com,camila123,Tecnología Médica - Radiología,1
Kevin,Cruz Fernández,32854678@sima.com,kevin123,Ingeniería Mecánica,8
Camila,Quispe Mamani,87313177@sima.com,camila123,Ingeniería Industrial,3
Carlos,Castillo Huamán,33476754@sima.com,carlos123,Ingeniería de Minas,3
María,Torres Díaz,70690071@sima.com,maría123,Tecnología Médica - Terapia Física y Rehabilitación,8
Andrea,García Pérez,25503579@sima.com,andrea123,Ciencias de la Comunicación,7
Fernando,Flores Rojas,27850058@sima.com,fernando123,Ingeniería Empresarial,8
Camila,Ramos Medina,10749892@sima.com,camila123,Derecho,6
María,Cruz Fernández,31420453@sima.com,maría123,Ingeniería Mecatrónica,8
Diego,Castillo Huamán,78526674@sima.com,diego123,Ciencias de la Comunicación,2
Camila,Torres Díaz,62576333@sima.com,camila123,Nutrición y Dietética,6
Miguel,Castillo Huamán,95930847@sima.com,miguel123,Nutrición y Dietética,5
Carlos,Paredes Silva,57698443@sima.com,carlos123,Tecnología Médica - Radiología,7
Sofía,Mendoza López,93057994@sima.com,sofía123,Ingeniería Mecatrónica,10
Miguel,Flores Rojas,37117429@sima.com,miguel123,Odontología,10
Ricardo,Flores Rojas,33239295@sima.com,ricardo123,Ingeniería Civil,10
Paula,Torres Díaz,34766502@sima.com,paula123,Tecnología Médica - Radiología,6
Camila,Flores Rojas,84008891@sima.com,camila123,Ingeniería Mecánica,6
Sofía,García Pérez,32337951@sima.com,sofía123,Farmacia y Bioquímica,5
María,Cruz Fernández,41218321@sima.com,maría123,Ingeniería Mecánica,6
Sofía,Torres Díaz,38284010@sima.com,sofía123,Nutrición y Dietética,5
Daniela,Cruz Fernández,99663756@sima.com,daniela123,Derecho,5
Kevin,Flores Rojas,43759437@sima.com,kevin123,Farmacia y Bioquímica,6
Carlos,Castillo Huamán,36386780@sima.com,carlos123,Ingeniería Civil,5
Miguel,Vargas Soto,47383404@sima.com,miguel123,Ingeniería Mecánica,9
Ricardo,Mendoza López,36639114@sima.com,ricardo123,Arquitectura,9
Ana,Torres Díaz,35007044@sima.com,ana123,Ingeniería Mecánica,7
Valeria,Ramos Medina,37263514@sima.com,valeria123,Ingeniería Ambiental,3
Jorge,Flores Rojas,11303985@sima.com,jorge123,Ingeniería Mecánica,9
Diego,Quispe Mamani,56570535@sima.com,diego123,Ingeniería Civil,5
Luis,Vargas Soto,21174174@sima.com,luis123,Ingeniería Ambiental,7
María,Ramos Medina,64542481@sima.com,maría123,Ingeniería Ambiental,7
Fernando,Quispe Mamani,62579553@sima.com,fernando123,Arquitectura,8
María,Flores Rojas,39139400@sima.com,maría123,Tecnología Médica - Radiología,9
Paula,Flores Rojas,16257545@sima.com,paula123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,9
Kevin,Castillo Huamán,31070872@sima.com,kevin123,Ingeniería Industrial,7
Daniela,Torres Díaz,64219193@sima.com,daniela123,Farmacia y Bioquímica,6
Jorge,Mendoza López,48760408@sima.com,jorge123,Derecho,1
Sofía,Ramos Medina,72034068@sima.com,sofía123,Ingeniería Mecánica,4
Sofía,García Pérez,20614880@sima.com,sofía123,Ciencias de la Comunicación,5
Paula,Ramos Medina,66574904@sima.com,paula123,Ingeniería Empresarial,6
Lucía,Paredes Silva,14822057@sima.com,lucía123,Ingeniería Civil,3
Diego,Castillo Huamán,97820411@sima.com,diego123,Ingeniería Ambiental,10
Andrea,Vargas Soto,94415753@sima.com,andrea123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,10
Ricardo,García Pérez,73167620@sima.com,ricardo123,Medicina Humana,10
